brand,category,cellular_technology,image,model_name,mrp,os,price,ratings,ratings_count,size,title
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41O9ez9DyNL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy M13,"₹17,999",Android 12.0,"11,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       "
Samsung,Mobile,128 GB,https://m.media-amazon.com/images/I/41Rkxw78fIL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy M13,"₹17,999",4G,"11,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       "
Samsung,Mobile,128 GB,https://m.media-amazon.com/images/I/41Jd5xDV2HL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy M13,"₹17,999",4G,"11,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       "
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41vQ5pqPAzL._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹13,499",Android 12.0,"7,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41rxSxVXs7L._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹13,499",Android 12.0,"7,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41rxSxVXs7L._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹11,499",Android 12.0,"6,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
OnePlus,Mobile,5G,https://m.media-amazon.com/images/I/41M++0dpooL._SY300_SX300_.jpg,OnePlus Nord CE 2 Lite 5G,"₹19,999",OxygenOS,"17,999", 4.2 ,"138,130 ratings",,"        OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41pQ4gJMwEL._SX300_SY300_QL70_ML2_.jpg,OnePlus 10R,"₹38,999",OxygenOS,"27,999", 4.3 ,"17,669 ratings",,"        OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)       "
Xiaomi,Mobile,Wi-Fi,https://m.media-amazon.com/images/I/41fITfJ3uPL._SX300_SY300_QL70_ML2_.jpg,Unlocked for All Carriers,"₹18,999",6.7 Inches,"9,999", 4.1 ,"3,768 ratings",,"        Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)       "
,Mobile,,https://m.media-amazon.com/images/I/41Rkxw78fIL._SX300_SY300_QL70_ML2_.jpg,,"₹14,999",,"9,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41-T2ODZmDL._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹13,999","MIUI 13, Android 12.0","6,999", 3.9 ,"8,838 ratings",,"        Redmi 12C (Mint Green, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹12,999",Android 13.0,"9,499", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
IQOO,Mobile,5G,https://m.media-amazon.com/images/I/41Hg9TA5PZL._SX300_SY300_QL70_ML2_.jpg,IQOO Neo 7 5G,"₹38,999",Funtouch OS 13 Based On Android 13,"30,999", 4.2 ,"5,211 ratings",,"        iQOO Neo 7 5G (Interstellar Black, 12GB RAM, 256GB Storage) | Dimensity 8200, only 4nm Processor in The Segment| 50% Charge in 10 mins| Motion Control & 90 FPS Gaming       "
Redmi,Mobile,5G,https://m.media-amazon.com/images/I/41GsqdiCvOL._SX300_SY300_QL70_ML2_.jpg,Redmi 12 5G,"₹15,999","MIUI 14, Android 13.0","11,999", 3.7 ,"3,573 ratings",,        Redmi 12 5G Jade Black 4GB RAM 128GB ROM       
IQOO,Mobile,5G,https://m.media-amazon.com/images/I/41yAce7gd4L._SX300_SY300_QL70_ML2_.jpg,IQOO Z7 Pro 5G,"₹27,999",Funtouch OS 13 Based On Android 13,"24,999", 4.3 ,"2,448 ratings",,"        iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone       "
IKALL,Mobile,4G,https://m.media-amazon.com/images/I/41z86JbVJmL._SX300_SY300_QL70_ML2_.jpg,Z19 Pro Ultra,"₹10,999",Android,"8,359", 2.7 ,11 ratings,,"        IKALL Z19 Pro Ultra Smartphone (6GB, 128GB) | 6.5 Inch HD+ Display | Fast Charging (Blue)       "
OnePlus,Mobile,5G,https://m.media-amazon.com/images/I/41eSQvTbsaL._SX300_SY300_QL70_ML2_.jpg,OnePlus 11 5G,,OxygenOS,"61,999", 4.3 ,"4,356 ratings",,"        OnePlus 11 5G (Titan Black, 16GB RAM, 256GB Storage)       "
Realme,Mobile,5G,https://m.media-amazon.com/images/I/41tSQSq1xJL._SX300_SY300_QL70_ML2_.jpg,Realme narzo 60x,"₹15,999",Android 13.0,"13,499", 4.0 ,"1,160 ratings",,"        realme narzo 60X 5G（Stellar Green,6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41LRhCMbApL._SX300_SY300_QL70_ML2_.jpg,Redmi A2,"₹8,999","Android 13 Go, Android 13.0","6,299", 3.8 ,"4,388 ratings",,"        Redmi A2 (Aqua Blue, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41dEcQR7UnL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹10,999",Android 13.0,"7,999", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Vivo,Mobile,5G,https://m.media-amazon.com/images/I/41KBGUyS3JL._SX300_SY300_QL70_ML2_.jpg,Y56 5G,"₹22,999",FunTouch OS 12,"16,999", 4.0 ,623 ratings,,"        Vivo Y56 5G (Orange Shimmer, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers       "
Samsung,Mobile,5G,https://m.media-amazon.com/images/I/31uNMTjUeVL._SY300_SX300_QL70_ML2_.jpg,Samsung Galaxy A34 5G,"₹35,499",Android 13.0,"27,999", 4.0 ,840 ratings,,"        Samsung Galaxy A34 5G (Awesome Graphite, 8GB, 128GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41TmlehQnaL._SX300_SY300_QL70_ML2_.jpg,OnePlus Nord CE 3 5G,,OxygenOS,"28,998", 4.0 ,"3,891 ratings",,"        OnePlus Nord CE 3 5G (Aqua Surge, 12GB RAM, 256GB Storage)       "
Realme,Mobile,5G,https://m.media-amazon.com/images/I/41LR8VAZD2L._SX300_SY300_QL70_ML2_.jpg,Realme narzo 60x,"₹14,999",Android 13.0,"11,499", 4.0 ,"1,160 ratings",,"        realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge       "
Samsung,Mobile,5G,https://m.media-amazon.com/images/I/31uajoTE1jL._SY300_SX300_QL70_ML2_.jpg,Samsung Galaxy A34 5G,"₹39,499",Android 13.0,"29,999", 4.0 ,840 ratings,,"        Samsung Galaxy A34 5G (Awesome Violet, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately       "
IQOO,Mobile,5G,https://m.media-amazon.com/images/I/4105IiC5tDL._SX300_SY300_QL70_ML2_.jpg,IQOO Z6,"₹19,999",Funtouch OS 12 based on Android 12,"13,999", 4.0 ,"17,178 ratings",,"        iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box       "
Samsung,Mobile,5G,https://m.media-amazon.com/images/I/4117KjEArBL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy S23 FE 5G,"₹84,999",Android 13.0,"64,999",,,,"        Samsung Galaxy S23 FE 5G (Purple, 8GB, 256GB Storage)       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41Mb05aS5fL._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹15,999","MIUI 13, Android 12.0","9,499", 3.9 ,"8,838 ratings",,"        Redmi 12C (Royal Blue, 6GB RAM, 128GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
Oppo,Mobile,LTE,https://m.media-amazon.com/images/I/4188coNKh5L._SX300_SY300_QL70_ML2_.jpg,F23 5G,"₹28,999",Android 13.0,"22,999", 3.9 ,851 ratings,,"        Oppo F23 5G (Cool Black, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W SUPERVOOC Charger | 64MP Rear Triple AI Camera with Microlens | 6.72"" FHD+ 120Hz Display | with Offer       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41gbs1aJDPL._SX300_SY300_QL70_ML2_.jpg,Redmi A2,"₹9,999","Android 13 Go, Android 13.0","5,299", 3.8 ,"4,388 ratings",,"        Redmi A2 (Classic Black, 2GB RAM, 64GB Storage)       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41-T2ODZmDL._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹13,999","MIUI 13, Android 12.0","6,999", 3.9 ,"8,838 ratings",,"        Redmi 12C (Mint Green, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
Realme,Mobile,"5G, 4G, 4G VOLTE, 3G, 2G, GSM, WCDMA",https://m.media-amazon.com/images/I/416CqQgOzZL._SX300_SY300_QL70_ML2_.jpg,11 5G,"₹22,999",Realme UI 4.0 | Based on Android 13,"17,848", 4.0 ,87 ratings,,"        realme 11 5G (Glory Black, 8GB RAM, 256GB Storage)       "
Nokia,Mobile,4G,https://m.media-amazon.com/images/I/31TsDhtVHpL._SX300_SY300_QL70_ML2_.jpg,2660 Flip,"₹5,899",S30+,"4,449", 3.8 ,"2,766 ratings",,"        Nokia 2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41LRhCMbApL._SX300_SY300_QL70_ML2_.jpg,Redmi A2,"₹9,999","Android 13 Go, Android 13.0","5,299", 3.8 ,"4,388 ratings",,"        Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41k+DrrxKfL._SY300_SX300_.jpg,OnePlus Nord 3 5G,,OxygenOS,"33,999", 4.0 ,"2,216 ratings",,"        OnePlus Nord 3 5G (Tempest Gray, 8GB RAM, 128GB Storage)       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41mOO9Ro-2L._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹13,999","MIUI 13, Android 12.0","6,999", 3.9 ,"8,838 ratings",,"        Redmi 12C (Matte Black, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹10,999",Android 13.0,"7,999", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41lvprpWDjL._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹13,999","MIUI 13, Android 12.0","6,999", 3.9 ,"8,838 ratings",,"        Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
Redmi,Mobile,5G,https://m.media-amazon.com/images/I/41iec5VPMlL._SX300_SY300_QL70_ML2_.jpg,Redmi Note 11T 5G,"₹20,999",Android 11 MIUI 12.5,"13,999", 4.1 ,"35,329 ratings",,"        Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41dEcQR7UnL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹10,999",Android 13.0,"7,999", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41lvprpWDjL._SX300_SY300_QL70_ML2_.jpg,Redmi 12C,"₹13,999","MIUI 13, Android 12.0","6,999", 3.9 ,"8,838 ratings",,"        Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41W0dAnmX9L._SX300_SY300_QL70_ML2_.jpg,OnePlus Nord 3 5G,,OxygenOS,"33,999", 4.0 ,"2,216 ratings",,"        OnePlus Nord 3 5G (Misty Green, 8GB RAM, 128GB Storage)       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹12,999",Android 13.0,"9,499", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Redmi,Mobile,4G,https://m.media-amazon.com/images/I/41zxerd4OJL._SX300_SY300_QL70_ML2_.jpg,Redmi A2,"₹9,999","Android 13 Go, Android 13.0","5,299", 3.8 ,"4,388 ratings",,"        Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)       "
Realme,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41snmTn9mrL._SX300_SY300_QL70_ML2_.jpg,Realme narzo 60 5G,"₹19,999",Android 13.0,"16,499", 4.0 ,"2,840 ratings",,"        realme narzo 60 5G (Mars Orange,8GB+128GB) 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger       "
Redmi,Mobile,5G,https://m.media-amazon.com/images/I/41-2m5Oyv5L._SX300_SY300_QL70_ML2_.jpg,Redmi 12 5G,"₹15,999","MIUI 14, Android 13.0","11,999", 3.7 ,"3,573 ratings",,        Redmi 12 5G Moonstone Silver 4GB RAM 128GB ROM       
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41vQ5pqPAzL._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹11,999",Android 12.0,"6,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/414+xRBltFL._SY300_SX300_.jpg,OnePlus 11 5G,,OxygenOS,"61,999", 4.3 ,"4,356 ratings",,"        OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)       "
Realme,Mobile,4G,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,Realme narzo N53,"₹10,999",Android 13.0,"7,999", 3.9 ,"8,300 ratings",,"        realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display       "
Lava,Mobile,5G,https://m.media-amazon.com/images/I/41U0KBNRk5L._SX300_SY300_QL70_ML2_.jpg,Lava Agni 2 5G,"₹25,999",Android 13.0,"19,999", 4.2 ,"1,911 ratings",,"        Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android       "
